,NAME,total_renter_households,30_to_34pct,35_to_39pct,40_to_49pct,50pct_plus,msa_code,cost_burdened,severely_burdened,pct_cost_burden,pct_severely_burdened,metro,state,burden_category
622,"Ogden-Clearfield, UT Metro Area",53153,4699,3065,4356,9600,36260,21720,9600,40.86,18.06,"Ogden-Clearfield, UT",UT,High (40-49%)
626,"Oklahoma City, OK Metro Area",199013,15878,11990,15143,43164,36420,86175,43164,43.3,21.69,"Oklahoma City, OK",OK,High (40-49%)
628,"Olympia-Lacey-Tumwater, WA Metro Area",37865,4239,2255,2891,10028,36500,19413,10028,51.27,26.48,"Olympia-Lacey-Tumwater, WA",WA,Very High (50%+)
629,"Omaha-Council Bluffs, NE-IA Metro Area",128525,11216,8391,10942,25834,36540,56383,25834,43.87,20.1,"Omaha-Council Bluffs, NE-IA",NE,High (40-49%)
634,"Orlando-Kissimmee-Sanford, FL Metro Area",351799,33106,26784,39476,92263,36740,191629,92263,54.47,26.23,"Orlando-Kissimmee-Sanford, FL",FL,Very High (50%+)
635,"Oshkosh-Neenah, WI Metro Area",24453,2060,1358,1909,3863,36780,9190,3863,37.58,15.8,"Oshkosh-Neenah, WI",WI,Moderate (30-39%)
642,"Owensboro, KY Metro Area",14501,1088,841,821,2710,36980,5460,2710,37.65,18.69,"Owensboro, KY",KY,Moderate (30-39%)
644,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",99078,9858,7022,11154,27435,37100,55469,27435,55.99,27.69,"Oxnard-Thousand Oaks-Ventura, CA",CA,Very High (50%+)
650,"Palm Bay-Melbourne-Titusville, FL Metro Area",57547,5253,3923,5803,14278,37340,29257,14278,50.84,24.81,"Palm Bay-Melbourne-Titusville, FL",FL,Very High (50%+)
652,"Panama City, FL Metro Area",23470,2929,1849,2305,5250,37460,12333,5250,52.55,22.37,"Panama City, FL",FL,Very High (50%+)
656,"Parkersburg-Vienna, WV Metro Area",9339,784,816,1102,1512,37620,4214,1512,45.12,16.19,"Parkersburg-Vienna, WV",WV,High (40-49%)
662,"Pensacola-Ferry Pass-Brent, FL Metro Area",61692,4917,4809,6022,12799,37860,28547,12799,46.27,20.75,"Pensacola-Ferry Pass-Brent, FL",FL,High (40-49%)
663,"Peoria, IL Metro Area",45866,3584,2422,2994,10076,37900,19076,10076,41.59,21.97,"Peoria, IL",IL,High (40-49%)
665,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",801034,67081,47871,64507,202087,37980,381546,202087,47.63,25.23,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,High (40-49%)
666,"Phoenix-Mesa-Chandler, AZ Metro Area",625339,56357,41214,56251,138041,38060,291863,138041,46.67,22.07,"Phoenix-Mesa-Chandler, AZ",AZ,High (40-49%)
669,"Pine Bluff, AR Metro Area",10080,820,756,894,1661,38220,4131,1661,40.98,16.48,"Pine Bluff, AR",AR,High (40-49%)
672,"Pittsburgh, PA Metro Area",303982,24085,15844,21783,59386,38300,121098,59386,39.84,19.54,"Pittsburgh, PA",PA,Moderate (30-39%)
673,"Pittsfield, MA Metro Area",16698,1626,1265,1120,4200,38340,8211,4200,49.17,25.15,"Pittsfield, MA",MA,High (40-49%)
678,"Pocatello, ID Metro Area",11157,648,607,815,2229,38540,4299,2229,38.53,19.98,"Pocatello, ID",ID,Moderate (30-39%)
686,"Portland-South Portland, ME Metro Area",64544,6649,4522,4315,12290,38860,27776,12290,43.03,19.04,"Portland-South Portland, ME",ME,High (40-49%)
687,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",373026,32528,24911,35750,87747,38900,180936,87747,48.5,23.52,"Portland-Vancouver-Hillsboro, OR-WA",OR,High (40-49%)
689,"Port St. Lucie, FL Metro Area",42040,4258,2653,3860,11652,38940,22423,11652,53.34,27.72,"Port St. Lucie, FL",FL,Very High (50%+)
692,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",78765,6839,4843,7094,21572,39100,40348,21572,51.23,27.39,"Poughkeepsie-Newburgh-Middletown, NY",NY,Very High (50%+)
693,"Prescott Valley-Prescott, AZ Metro Area",28649,1800,1733,2933,5292,39150,11758,5292,41.04,18.47,"Prescott Valley-Prescott, AZ",AZ,High (40-49%)
696,"Providence-Warwick, RI-MA Metro Area",248944,23050,14908,19264,55253,39300,112475,55253,45.18,22.19,"Providence-Warwick, RI-MA",RI,High (40-49%)
697,"Provo-Orem, UT Metro Area",59535,5775,3547,5227,11828,39340,26377,11828,44.31,19.87,"Provo-Orem, UT",UT,High (40-49%)
698,"Pueblo, CO Metro Area",22229,2037,1252,1669,5874,39380,10832,5874,48.73,26.42,"Pueblo, CO",CO,High (40-49%)
700,"Punta Gorda, FL Metro Area",14884,1248,992,1546,4299,39460,8085,4299,54.32,28.88,"Punta Gorda, FL",FL,Very High (50%+)
702,"Racine, WI Metro Area",23759,1948,1135,1817,4893,39540,9793,4893,41.22,20.59,"Racine, WI",WI,High (40-49%)
703,"Raleigh-Cary, NC Metro Area",178143,16608,11204,14839,35888,39580,78539,35888,44.09,20.15,"Raleigh-Cary, NC",NC,High (40-49%)
704,"Rapid City, SD Metro Area",16906,2113,1306,1227,2599,39660,7245,2599,42.85,15.37,"Rapid City, SD",SD,High (40-49%)
706,"Reading, PA Metro Area",47009,4199,2726,4571,10275,39740,21771,10275,46.31,21.86,"Reading, PA",PA,High (40-49%)
708,"Redding, CA Metro Area",24850,2113,1388,1898,5978,39820,11377,5978,45.78,24.06,"Redding, CA",CA,High (40-49%)
710,"Reno, NV Metro Area",79800,7549,5565,8124,17091,39900,38329,17091,48.03,21.42,"Reno, NV",NV,High (40-49%)
713,"Richmond, VA Metro Area",171512,15819,11664,14411,40333,40060,82227,40333,47.94,23.52,"Richmond, VA",VA,High (40-49%)
716,"Riverside-San Bernardino-Ontario, CA Metro Area",492978,46819,34765,51788,137534,40140,270906,137534,54.95,27.9,"Riverside-San Bernardino-Ontario, CA",CA,Very High (50%+)
718,"Roanoke, VA Metro Area",40109,2759,2020,3834,7951,40220,16564,7951,41.3,19.82,"Roanoke, VA",VA,High (40-49%)
721,"Rochester, MN Metro Area",23496,2560,1625,1420,4697,40340,10302,4697,43.85,19.99,"Rochester, MN",MN,High (40-49%)
722,"Rochester, NY Metro Area",146380,12720,8620,11949,37430,40380,70719,37430,48.31,25.57,"Rochester, NY",NY,High (40-49%)
723,"Rockford, IL Metro Area",42628,3461,2190,3726,9879,40420,19256,9879,45.17,23.17,"Rockford, IL",IL,High (40-49%)
727,"Rocky Mount, NC Metro Area",20627,1597,1338,1298,4109,40580,8342,4109,40.44,19.92,"Rocky Mount, NC",NC,High (40-49%)
729,"Rome, GA Metro Area",13279,993,873,1327,2776,40660,5969,2776,44.95,20.91,"Rome, GA",GA,High (40-49%)
736,"Sacramento-Roseville-Folsom, CA Metro Area",329482,29014,23277,32272,87469,40900,172032,87469,52.21,26.55,"Sacramento-Roseville-Folsom, CA",CA,Very High (50%+)
738,"Saginaw, MI Metro Area",21260,2234,1174,1924,5279,40980,10611,5279,49.91,24.83,"Saginaw, MI",MI,High (40-49%)
739,"St. Cloud, MN Metro Area",25160,1429,1347,1906,5495,41060,10177,5495,40.45,21.84,"St. Cloud, MN",MN,High (40-49%)
740,"St. George, UT Metro Area",17674,1679,1508,1478,3628,41100,8293,3628,46.92,20.53,"St. George, UT",UT,High (40-49%)
741,"St. Joseph, MO-KS Metro Area",15362,1347,677,918,3250,41140,6192,3250,40.31,21.16,"St. Joseph, MO-KS",MO,High (40-49%)
742,"St. Louis, MO-IL Metro Area",346284,26810,19930,25892,74295,41180,146927,74295,42.43,21.45,"St. Louis, MO-IL",MO,High (40-49%)
746,"Salem, OR Metro Area",58447,5140,4327,4820,14673,41420,28960,14673,49.55,25.1,"Salem, OR",OR,High (40-49%)
748,"Salinas, CA Metro Area",62614,6421,4611,6242,15497,41500,32771,15497,52.34,24.75,"Salinas, CA",CA,Very High (50%+)
749,"Salisbury, MD-DE Metro Area",42856,3526,3058,3945,10236,41540,20765,10236,48.45,23.88,"Salisbury, MD-DE",MD,High (40-49%)
750,"Salt Lake City, UT Metro Area",137891,13434,8946,12460,27355,41620,62195,27355,45.1,19.84,"Salt Lake City, UT",UT,High (40-49%)
751,"San Angelo, TX Metro Area",14909,1110,1107,1462,2861,41660,6540,2861,43.87,19.19,"San Angelo, TX",TX,High (40-49%)
752,"San Antonio-New Braunfels, TX Metro Area",345256,30254,24213,31313,79082,41700,164862,79082,47.75,22.91,"San Antonio-New Braunfels, TX",TX,High (40-49%)
753,"San Diego-Chula Vista-Carlsbad, CA Metro Area",525840,48900,37001,53307,148226,41740,287434,148226,54.66,28.19,"San Diego-Chula Vista-Carlsbad, CA",CA,Very High (50%+)
757,"San Francisco-Oakland-Berkeley, CA Metro Area",768461,61754,43933,63770,172433,41860,341890,172433,44.49,22.44,"San Francisco-Oakland-Berkeley, CA",CA,High (40-49%)
759,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",295566,24884,19031,23521,59497,41940,126933,59497,42.95,20.13,"San Jose-Sunnyvale-Santa Clara, CA",CA,High (40-49%)
761,"San Luis Obispo-Paso Robles, CA Metro Area",41068,3847,2794,4031,11181,42020,21853,11181,53.21,27.23,"San Luis Obispo-Paso Robles, CA",CA,Very High (50%+)
762,"Santa Cruz-Watsonville, CA Metro Area",38635,3008,2243,3181,10733,42100,19165,10733,49.61,27.78,"Santa Cruz-Watsonville, CA",CA,High (40-49%)
763,"Santa Fe, NM Metro Area",19336,1423,921,1731,4657,42140,8732,4657,45.16,24.08,"Santa Fe, NM",NM,High (40-49%)
765,"Santa Maria-Santa Barbara, CA Metro Area",69864,6462,5195,6874,19113,42200,37644,19113,53.88,27.36,"Santa Maria-Santa Barbara, CA",CA,Very High (50%+)
766,"Santa Rosa-Petaluma, CA Metro Area",72732,7163,5027,6835,18407,42220,37432,18407,51.47,25.31,"Santa Rosa-Petaluma, CA",CA,Very High (50%+)
768,"Savannah, GA Metro Area",59549,4660,4256,4796,14259,42340,27971,14259,46.97,23.94,"Savannah, GA",GA,High (40-49%)
773,"Scranton--Wilkes-Barre, PA Metro Area",76197,5539,3525,5162,16567,42540,30793,16567,40.41,21.74,"Scranton--Wilkes-Barre, PA",PA,High (40-49%)
775,"Seattle-Tacoma-Bellevue, WA Metro Area",619164,58468,42264,52857,132625,42660,286214,132625,46.23,21.42,"Seattle-Tacoma-Bellevue, WA",WA,High (40-49%)
776,"Sebastian-Vero Beach, FL Metro Area",13031,850,740,1157,3724,42680,6471,3724,49.66,28.58,"Sebastian-Vero Beach, FL",FL,High (40-49%)
777,"Sebring-Avon Park, FL Metro Area",9659,890,618,796,1947,42700,4251,1947,44.01,20.16,"Sebring-Avon Park, FL",FL,High (40-49%)
787,"Sheboygan, WI Metro Area",13883,944,549,779,2029,43100,4301,2029,30.98,14.61,"Sheboygan, WI",WI,Moderate (30-39%)
792,"Sherman-Denison, TX Metro Area",17130,1352,1196,1289,3531,43300,7368,3531,43.01,20.61,"Sherman-Denison, TX",TX,High (40-49%)
794,"Shreveport-Bossier City, LA Metro Area",56682,4173,3563,4414,15284,43340,27434,15284,48.4,26.96,"Shreveport-Bossier City, LA",LA,High (40-49%)
796,"Sierra Vista-Douglas, AZ Metro Area",14798,1382,1003,1213,2356,43420,5954,2356,40.24,15.92,"Sierra Vista-Douglas, AZ",AZ,High (40-49%)
799,"Sioux City, IA-NE-SD Metro Area",17967,1270,867,1185,3319,43580,6641,3319,36.96,18.47,"Sioux City, IA-NE-SD",IA,Moderate (30-39%)
800,"Sioux Falls, SD Metro Area",37349,3005,2104,3044,5620,43620,13773,5620,36.88,15.05,"Sioux Falls, SD",SD,Moderate (30-39%)
805,"South Bend-Mishawaka, IN-MI Metro Area",38079,3056,2286,3284,8591,43780,17217,8591,45.21,22.56,"South Bend-Mishawaka, IN-MI",IN,High (40-49%)
806,"Spartanburg, SC Metro Area",34114,2840,1941,2362,7442,43900,14585,7442,42.75,21.82,"Spartanburg, SC",SC,High (40-49%)
810,"Spokane-Spokane Valley, WA Metro Area",81144,7807,5520,7559,18306,44060,39192,18306,48.3,22.56,"Spokane-Spokane Valley, WA",WA,High (40-49%)
811,"Springfield, IL Metro Area",26182,2128,1200,1700,5895,44100,10923,5895,41.72,22.52,"Springfield, IL",IL,High (40-49%)
812,"Springfield, MA Metro Area",98808,9663,6434,8431,24834,44140,49362,24834,49.96,25.13,"Springfield, MA",MA,High (40-49%)
813,"Springfield, MO Metro Area",72911,5759,4262,5848,15760,44180,31629,15760,43.38,21.62,"Springfield, MO",MO,High (40-49%)
814,"Springfield, OH Metro Area",17438,1503,942,1023,3204,44220,6672,3204,38.26,18.37,"Springfield, OH",OH,Moderate (30-39%)
816,"State College, PA Metro Area",21825,1439,1009,2098,7142,44300,11688,7142,53.55,32.72,"State College, PA",PA,Very High (50%+)
818,"Staunton, VA Metro Area",14944,986,975,1141,3308,44420,6410,3308,42.89,22.14,"Staunton, VA",VA,High (40-49%)
825,"Stockton, CA Metro Area",95032,9453,6537,8762,22463,44700,47215,22463,49.68,23.64,"Stockton, CA",CA,High (40-49%)
830,"Sumter, SC Metro Area",16886,1488,1105,1363,3089,44940,7045,3089,41.72,18.29,"Sumter, SC",SC,High (40-49%)
834,"Syracuse, NY Metro Area",85007,6242,5083,5951,21666,45060,38942,21666,45.81,25.49,"Syracuse, NY",NY,High (40-49%)
837,"Tallahassee, FL Metro Area",64643,5053,3409,6128,18944,45220,33534,18944,51.88,29.31,"Tallahassee, FL",FL,Very High (50%+)
838,"Tampa-St. Petersburg-Clearwater, FL Metro Area",423600,39039,29670,42687,106954,45300,218350,106954,51.55,25.25,"Tampa-St. Petersburg-Clearwater, FL",FL,Very High (50%+)
841,"Terre Haute, IN Metro Area",22513,1869,1340,2035,5106,45460,10350,5106,45.97,22.68,"Terre Haute, IN",IN,High (40-49%)
842,"Texarkana, TX-AR Metro Area",18920,1465,1036,1838,3920,45500,8259,3920,43.65,20.72,"Texarkana, TX-AR",TX,High (40-49%)
844,"The Villages, FL Metro Area",8257,499,425,1080,2213,45540,4217,2213,51.07,26.8,"The Villages, FL",FL,Very High (50%+)
850,"Toledo, OH Metro Area",95327,6888,4923,6766,19903,45780,38480,19903,40.37,20.88,"Toledo, OH",OH,High (40-49%)
851,"Topeka, KS Metro Area",28749,2116,1488,2726,5964,45820,12294,5964,42.76,20.75,"Topeka, KS",KS,High (40-49%)
854,"Trenton-Princeton, NJ Metro Area",51914,4510,3141,4461,13043,45940,25155,13043,48.46,25.12,"Trenton-Princeton, NJ",NJ,High (40-49%)
857,"Tucson, AZ Metro Area",151698,13640,9249,13630,35088,46060,71607,35088,47.2,23.13,"Tucson, AZ",AZ,High (40-49%)
859,"Tulsa, OK Metro Area",135897,10729,8290,10341,25197,46140,54557,25197,40.15,18.54,"Tulsa, OK",OK,High (40-49%)
861,"Tuscaloosa, AL Metro Area",35757,2822,1768,3298,8810,46220,16698,8810,46.7,24.64,"Tuscaloosa, AL",AL,High (40-49%)
862,"Twin Falls, ID Metro Area",12388,1214,1113,789,2097,46300,5213,2097,42.08,16.93,"Twin Falls, ID",ID,High (40-49%)
863,"Tyler, TX Metro Area",25423,1927,1496,2001,4942,46340,10366,4942,40.77,19.44,"Tyler, TX",TX,High (40-49%)
868,"Urban Honolulu, HI Metro Area",137316,13164,9564,14419,36746,46520,73893,36746,53.81,26.76,"Urban Honolulu, HI",HI,Very High (50%+)
869,"Utica-Rome, NY Metro Area",35706,2823,1852,2215,7846,46540,14736,7846,41.27,21.97,"Utica-Rome, NY",NY,High (40-49%)
871,"Valdosta, GA Metro Area",23266,2175,1492,2079,4745,46660,10491,4745,45.09,20.39,"Valdosta, GA",GA,High (40-49%)
872,"Vallejo, CA Metro Area",57295,5608,4096,5283,14786,46700,29773,14786,51.96,25.81,"Vallejo, CA",CA,Very High (50%+)
878,"Victoria, TX Metro Area",11730,664,732,1045,2741,47020,5182,2741,44.18,23.37,"Victoria, TX",TX,High (40-49%)
881,"Vineland-Bridgeton, NJ Metro Area",17864,1405,1002,1618,5934,47220,9959,5934,55.75,33.22,"Vineland-Bridgeton, NJ",NJ,Very High (50%+)
883,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",262740,24199,18368,25039,61998,47260,129604,61998,49.33,23.6,"Virginia Beach-Norfolk-Newport News, VA-NC",VA,High (40-49%)
884,"Visalia, CA Metro Area",58592,4474,3381,5589,13911,47300,27355,13911,46.69,23.74,"Visalia, CA",CA,High (40-49%)
886,"Waco, TX Metro Area",39586,3117,2770,3268,10549,47380,19704,10549,49.78,26.65,"Waco, TX",TX,High (40-49%)
888,"Walla Walla, WA Metro Area",7778,533,715,810,1744,47460,3802,1744,48.88,22.42,"Walla Walla, WA",WA,High (40-49%)
890,"Warner Robins, GA Metro Area",23196,1935,1200,2579,4038,47580,9752,4038,42.04,17.41,"Warner Robins, GA",GA,High (40-49%)
896,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",853416,75905,55794,68817,185597,47900,386113,185597,45.24,21.75,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,High (40-49%)
898,"Waterloo-Cedar Falls, IA Metro Area",21074,1519,1357,1352,5407,47940,9635,5407,45.72,25.66,"Waterloo-Cedar Falls, IA",IA,High (40-49%)
901,"Watertown-Fort Drum, NY Metro Area",20976,1864,1247,1974,4037,48060,9122,4037,43.49,19.25,"Watertown-Fort Drum, NY",NY,High (40-49%)
903,"Wausau-Weston, WI Metro Area",17934,1829,1137,1618,2845,48140,7429,2845,41.42,15.86,"Wausau-Weston, WI",WI,High (40-49%)
906,"Weirton-Steubenville, WV-OH Metro Area",13662,912,553,902,2661,48260,5028,2661,36.8,19.48,"Weirton-Steubenville, WV-OH",WV,Moderate (30-39%)
907,"Wenatchee, WA Metro Area",15770,1014,720,1109,2745,48300,5588,2745,35.43,17.41,"Wenatchee, WA",WA,Moderate (30-39%)
910,"Wheeling, WV-OH Metro Area",14603,1177,739,946,3081,48540,5943,3081,40.7,21.1,"Wheeling, WV-OH",WV,High (40-49%)
912,"Wichita, KS Metro Area",87340,7283,4932,6745,16942,48620,35902,16942,41.11,19.4,"Wichita, KS",KS,High (40-49%)
913,"Wichita Falls, TX Metro Area",20464,1422,1418,1493,3653,48660,7986,3653,39.02,17.85,"Wichita Falls, TX",TX,Moderate (30-39%)
914,"Williamsport, PA Metro Area",13764,1455,656,1074,2623,48700,5808,2623,42.2,19.06,"Williamsport, PA",PA,High (40-49%)
917,"Wilmington, NC Metro Area",44566,3913,2596,4031,11393,48900,21933,11393,49.21,25.56,"Wilmington, NC",NC,High (40-49%)
920,"Winchester, VA-WV Metro Area",15357,1482,1028,957,2702,49020,6169,2702,40.17,17.59,"Winchester, VA-WV",VA,High (40-49%)
924,"Winston-Salem, NC Metro Area",87505,7394,5271,6339,18907,49180,37911,18907,43.32,21.61,"Winston-Salem, NC",NC,High (40-49%)
928,"Worcester, MA-CT Metro Area",126746,12523,7758,10102,27763,49340,58146,27763,45.88,21.9,"Worcester, MA-CT",MA,High (40-49%)
930,"Yakima, WA Metro Area",32234,2604,2004,1976,6644,49420,13228,6644,41.04,20.61,"Yakima, WA",WA,High (40-49%)
933,"York-Hanover, PA Metro Area",43622,3951,2887,4161,8776,49620,19775,8776,45.33,20.12,"York-Hanover, PA",PA,High (40-49%)
934,"Youngstown-Warren-Boardman, OH-PA Metro Area",66232,4622,3767,6057,13791,49660,28237,13791,42.63,20.82,"Youngstown-Warren-Boardman, OH-PA",OH,High (40-49%)
935,"Yuba City, CA Metro Area",24000,2597,1449,2554,4862,49700,11462,4862,47.76,20.26,"Yuba City, CA",CA,High (40-49%)
936,"Yuma, AZ Metro Area",23103,2270,2094,1262,4474,49740,10100,4474,43.72,19.37,"Yuma, AZ",AZ,High (40-49%)
